CURRENT DISTRIBUTION ALONG ONE HALF OF THE DIPOLE
POSITION Z:   MAGNITUDE:       REAL PART:       IMAGINARY PART:      SECTION #:
0.3104       0.001227            0.000197        -0.001211          116.0 

0.3094       0.001234            0.000198        -0.001218          117.0 

0.3084       0.001241            0.000200        -0.001225          118.0 

0.3074       0.001248            0.000202        -0.001232          119.0 

0.3064       0.001255            0.000204        -0.001239          120.0 

0.3054       0.001263            0.000206        -0.001246          121.0 

0.3044       0.001270            0.000207        -0.001253          122.0 

0.3034       0.001277            0.000209        -0.001259          123.0 

0.3024       0.001284            0.000211        -0.001266          124.0 

0.3014       0.001290            0.000213        -0.001273          125.0 

0.3004       0.001297            0.000214        -0.001279          126.0 

0.2994       0.001304            0.000216        -0.001286          127.0 

0.2984       0.001311            0.000218        -0.001292          128.0 

0.2973       0.001317            0.000220        -0.001299          129.0 

0.2963       0.001324            0.000221        -0.001305          130.0 

0.2953       0.001330            0.000223        -0.001312          131.0 

0.2943       0.001337            0.000225        -0.001318          132.0 

0.2933       0.001343            0.000227        -0.001324          133.0 

0.2923       0.001350            0.000229        -0.001330          134.0 

0.2913       0.001356            0.000230        -0.001336          135.0 

0.2903       0.001362            0.000232        -0.001342          136.0 

0.2893       0.001368            0.000234        -0.001348          137.0 

0.2883       0.001375            0.000236        -0.001354          138.0 

0.2873       0.001381            0.000237        -0.001360          139.0 

0.2863       0.001387            0.000239        -0.001366          140.0 

0.2853       0.001393            0.000241        -0.001372          141.0 

0.2843       0.001399            0.000243        -0.001377          142.0 

0.2833       0.001404            0.000244        -0.001383          143.0 

0.2823       0.001410            0.000246        -0.001389          144.0 

0.2813       0.001416            0.000248        -0.001394          145.0 

0.2803       0.001422            0.000250        -0.001400          146.0 

0.2793       0.001427            0.000252        -0.001405          147.0 

0.2783       0.001433            0.000253        -0.001410          148.0 

0.2773       0.001438            0.000255        -0.001416          149.0 

0.2763       0.001444            0.000257        -0.001421          150.0 

0.2753       0.001449            0.000259        -0.001426          151.0 

0.2743       0.001455            0.000260        -0.001431          152.0 

0.2733       0.001460            0.000262        -0.001436          153.0 

0.2723       0.001465            0.000264        -0.001441          154.0 

0.2713       0.001470            0.000266        -0.001446          155.0 

0.2703       0.001475            0.000267        -0.001451          156.0 

0.2693       0.001480            0.000269        -0.001456          157.0 

0.2683       0.001485            0.000271        -0.001460          158.0 

0.2673       0.001490            0.000273        -0.001465          159.0 

0.2663       0.001495            0.000274        -0.001470          160.0 

0.2653       0.001500            0.000276        -0.001474          161.0 

0.2643       0.001505            0.000278        -0.001479          162.0 

0.2633       0.001509            0.000280        -0.001483          163.0 

0.2623       0.001514            0.000281        -0.001487          164.0 

0.2613       0.001518            0.000283        -0.001492          165.0 

0.2603       0.001523            0.000285        -0.001496          166.0 

0.2593       0.001527            0.000287        -0.001500          167.0 

0.2583       0.001532            0.000288        -0.001504          168.0 

0.2573       0.001536            0.000290        -0.001508          169.0 

0.2563       0.001540            0.000292        -0.001512          170.0 

0.2553       0.001544            0.000294        -0.001516          171.0 

0.2543       0.001548            0.000295        -0.001520          172.0 

0.2533       0.001553            0.000297        -0.001524          173.0 

0.2523       0.001557            0.000299        -0.001528          174.0 

0.2513       0.001560            0.000301        -0.001531          175.0 

0.2503       0.001564            0.000302        -0.001535          176.0 

0.2493       0.001568            0.000304        -0.001538          177.0 

0.2483       0.001572            0.000306        -0.001542          178.0 

0.2473       0.001575            0.000308        -0.001545          179.0 

0.2463       0.001579            0.000309        -0.001549          180.0 

0.2453       0.001583            0.000311        -0.001552          181.0 

0.2443       0.001586            0.000313        -0.001555          182.0 

0.2433       0.001590            0.000314        -0.001558          183.0 

0.2423       0.001593            0.000316        -0.001561          184.0 

0.2413       0.001596            0.000318        -0.001564          185.0 

0.2403       0.001599            0.000320        -0.001567          186.0 

0.2393       0.001603            0.000321        -0.001570          187.0 

0.2383       0.001606            0.000323        -0.001573          188.0 

0.2373       0.001609            0.000325        -0.001576          189.0 

0.2363       0.001612            0.000326        -0.001578          190.0 

0.2353       0.001615            0.000328        -0.001581          191.0 

0.2343       0.001617            0.000330        -0.001583          192.0 

0.2333       0.001620            0.000331        -0.001586          193.0 

0.2323       0.001623            0.000333        -0.001588          194.0 

0.2313       0.001626            0.000335        -0.001591          195.0 

0.2303       0.001628            0.000336        -0.001593          196.0 

0.2293       0.001631            0.000338        -0.001595          197.0 

0.2283       0.001633            0.000340        -0.001597          198.0 

0.2273       0.001635            0.000342        -0.001599          199.0 

0.2263       0.001638            0.000343        -0.001601          200.0 

0.2253       0.001640            0.000345        -0.001603          201.0 

0.2243       0.001642            0.000347        -0.001605          202.0 

0.2233       0.001644            0.000348        -0.001607          203.0 

0.2223       0.001646            0.000350        -0.001609          204.0 

0.2213       0.001648            0.000351        -0.001610          205.0 

0.2203       0.001650            0.000353        -0.001612          206.0 

0.2193       0.001652            0.000355        -0.001614          207.0 

